po_number,vendor_id,order_date,expected_delivery_date,actual_delivery_date,po_status
PO-2023-0001,V-1002,2023-07-09,2023-08-02,2023-08-01,Delivered On Time
PO-2023-0002,V-1005,2023-06-02,2023-06-13,2023-06-12,Delivered On Time
PO-2023-0003,V-1002,2023-05-25,2023-06-13,2023-06-14,Delayed
PO-2023-0004,V-1002,2023-09-08,2023-09-25,2023-10-09,Delayed
PO-2023-0005,V-1001,2023-04-27,2023-05-17,2023-05-15,Delivered On Time
PO-2023-0006,V-1005,2023-01-04,2023-01-27,2023-01-29,Delayed
PO-2023-0007,V-1005,2023-07-16,2023-08-02,2023-08-03,Delayed
PO-2023-0008,V-1005,2023-01-13,2023-01-25,2023-01-26,Delayed
PO-2023-0009,V-1001,2023-03-19,2023-04-01,2023-03-30,Delivered On Time
PO-2023-0010,V-1004,2023-06-02,2023-06-30,2023-06-27,Delivered On Time
PO-2023-0011,V-1005,2023-09-20,2023-10-03,2023-10-05,Delayed
PO-2023-0012,V-1002,2023-09-13,2023-10-08,2023-10-26,Delayed
PO-2023-0013,V-1003,2023-08-16,2023-09-12,2023-09-10,Delivered On Time
PO-2023-0014,V-1002,2023-10-19,2023-11-18,2023-11-29,Delayed
PO-2023-0015,V-1005,2023-08-22,2023-09-19,2023-09-18,Delivered On Time
PO-2023-0016,V-1005,2023-10-14,2023-11-12,2023-11-17,Delayed
PO-2023-0017,V-1002,2023-10-20,2023-10-30,2023-11-07,Delayed
PO-2023-0018,V-1005,2023-11-03,2023-12-02,2023-12-04,Delayed
PO-2023-0019,V-1002,2023-02-17,2023-03-15,2023-04-01,Delayed
PO-2023-0020,V-1005,2023-07-13,2023-07-26,2023-07-24,Delivered On Time
PO-2023-0021,V-1004,2023-10-13,2023-10-24,2023-10-24,Delivered On Time
PO-2023-0022,V-1003,2023-02-03,2023-02-20,2023-02-26,Delayed
PO-2023-0023,V-1004,2023-12-05,2024-01-03,2024-01-02,Delivered On Time
PO-2023-0024,V-1002,2023-08-17,2023-09-14,2023-09-21,Delayed
PO-2023-0025,V-1005,2023-01-27,2023-02-16,2023-02-16,Delivered On Time
PO-2023-0026,V-1003,2023-02-26,2023-03-11,2023-03-09,Delivered On Time
PO-2023-0027,V-1005,2023-02-04,2023-02-25,2023-02-26,Delayed
PO-2023-0028,V-1005,2023-09-10,2023-10-04,2023-10-04,Delivered On Time
PO-2023-0029,V-1005,2023-01-25,2023-02-13,2023-02-15,Delayed
PO-2023-0030,V-1002,2023-01-18,2023-02-04,2023-02-16,Delayed
PO-2023-0031,V-1002,2023-09-06,2023-09-22,2023-10-06,Delayed
PO-2023-0032,V-1005,2023-03-22,2023-04-17,2023-04-18,Delayed
PO-2023-0033,V-1001,2023-09-14,2023-09-24,2023-09-26,Delayed
PO-2023-0034,V-1001,2023-09-13,2023-10-06,2023-10-08,Delayed
PO-2023-0035,V-1004,2023-12-17,2024-01-02,2023-12-30,Delivered On Time
PO-2023-0036,V-1002,2023-07-29,2023-08-17,2023-08-18,Delayed
PO-2023-0037,V-1005,2023-11-19,2023-12-14,2023-12-16,Delayed
PO-2023-0038,V-1005,2023-04-23,2023-05-12,2023-05-17,Delayed
PO-2023-0039,V-1005,2023-10-11,2023-11-09,2023-11-10,Delayed
PO-2023-0040,V-1005,2023-12-17,2024-01-12,2024-01-11,Delivered On Time
PO-2023-0041,V-1001,2023-02-10,2023-03-06,2023-03-07,Delayed
PO-2023-0042,V-1002,2023-08-30,2023-09-19,2023-09-18,Delivered On Time
PO-2023-0043,V-1001,2023-03-18,2023-03-28,2023-04-04,Delayed
PO-2023-0044,V-1003,2023-12-05,2023-12-17,2023-12-17,Delivered On Time
PO-2023-0045,V-1003,2023-10-17,2023-10-27,2023-10-27,Delivered On Time
PO-2023-0046,V-1004,2023-04-27,2023-05-26,2023-05-25,Delivered On Time
PO-2023-0047,V-1002,2023-03-31,2023-04-14,2023-04-21,Delayed
PO-2023-0048,V-1002,2023-02-01,2023-02-17,2023-02-19,Delayed
PO-2023-0049,V-1002,2023-06-27,2023-07-11,2023-07-21,Delayed
PO-2023-0050,V-1002,2023-12-05,2023-12-16,2023-12-16,Delivered On Time
PO-2023-0051,V-1004,2023-05-18,2023-06-13,2023-06-11,Delivered On Time
PO-2023-0052,V-1002,2023-07-30,2023-08-20,2023-08-19,Delivered On Time
PO-2023-0053,V-1001,2023-11-28,2023-12-25,2023-12-24,Delivered On Time
PO-2023-0054,V-1001,2023-12-15,2024-01-11,2024-01-11,Delivered On Time
PO-2023-0055,V-1002,2023-05-06,2023-05-25,2023-06-13,Delayed
PO-2023-0056,V-1002,2023-10-22,2023-11-17,2023-11-16,Delivered On Time
PO-2023-0057,V-1005,2023-09-01,2023-09-26,2023-09-28,Delayed
PO-2023-0058,V-1005,2023-12-13,2023-12-30,2023-12-31,Delayed
PO-2023-0059,V-1005,2023-06-19,2023-07-17,2023-07-16,Delivered On Time
PO-2023-0060,V-1001,2023-11-23,2023-12-11,2023-12-12,Delayed
PO-2023-0061,V-1003,2023-12-23,2024-01-10,2024-01-10,Delivered On Time
PO-2023-0062,V-1003,2023-06-24,2023-07-12,2023-07-10,Delivered On Time
PO-2023-0063,V-1004,2023-11-30,2023-12-23,2023-12-22,Delivered On Time
PO-2023-0064,V-1001,2023-03-07,2023-03-25,2023-03-23,Delivered On Time
PO-2023-0065,V-1002,2023-02-01,2023-03-01,2023-02-27,Delivered On Time
