item_id,po_number,material_id,quantity,unit_price
1,PO-2023-0001,MAT-003,1894,1.2
2,PO-2023-0002,MAT-006,3118,2.5
3,PO-2023-0003,MAT-002,2874,4.35
4,PO-2023-0003,MAT-003,3574,1.17
5,PO-2023-0004,MAT-003,3903,1.15
6,PO-2023-0004,MAT-002,1124,4.7
7,PO-2023-0005,MAT-001,127,50.55
8,PO-2023-0006,MAT-006,2204,2.48
9,PO-2023-0007,MAT-006,2939,2.45
10,PO-2023-0008,MAT-006,2184,2.42
11,PO-2023-0009,MAT-001,78,47.83
12,PO-2023-0010,MAT-005,4873,0.8
13,PO-2023-0011,MAT-006,4449,2.62
14,PO-2023-0012,MAT-002,3674,4.38
15,PO-2023-0013,MAT-004,190,43.17
16,PO-2023-0014,MAT-003,2878,1.25
17,PO-2023-0015,MAT-006,4861,2.6
18,PO-2023-0016,MAT-006,1367,2.6
19,PO-2023-0017,MAT-002,2489,4.3
20,PO-2023-0018,MAT-006,2322,2.61
21,PO-2023-0019,MAT-003,2246,1.2
22,PO-2023-0020,MAT-006,2691,2.49
23,PO-2023-0021,MAT-005,1398,0.81
24,PO-2023-0022,MAT-004,192,44.93
25,PO-2023-0023,MAT-005,4558,0.81
26,PO-2023-0024,MAT-003,4507,1.18
27,PO-2023-0024,MAT-002,4893,4.33
28,PO-2023-0025,MAT-006,3148,2.49
29,PO-2023-0026,MAT-004,144,46.15
30,PO-2023-0027,MAT-006,3877,2.62
31,PO-2023-0028,MAT-006,2021,2.42
32,PO-2023-0029,MAT-006,3864,2.38
33,PO-2023-0030,MAT-003,4843,1.25
34,PO-2023-0031,MAT-002,2793,4.28
35,PO-2023-0031,MAT-003,4849,1.18
36,PO-2023-0032,MAT-006,3676,2.46
37,PO-2023-0033,MAT-001,122,51.61
38,PO-2023-0034,MAT-001,154,52.31
39,PO-2023-0035,MAT-005,3782,0.84
40,PO-2023-0036,MAT-003,4927,1.16
41,PO-2023-0037,MAT-006,1403,2.53
42,PO-2023-0038,MAT-006,1610,2.44
43,PO-2023-0039,MAT-006,1816,2.57
44,PO-2023-0040,MAT-006,4448,2.53
45,PO-2023-0041,MAT-001,197,52.01
46,PO-2023-0042,MAT-002,3226,4.48
47,PO-2023-0043,MAT-001,182,51.83
48,PO-2023-0044,MAT-004,27,47.01
49,PO-2023-0045,MAT-004,24,47.08
50,PO-2023-0046,MAT-005,3851,0.83
51,PO-2023-0047,MAT-002,1704,4.55
52,PO-2023-0047,MAT-003,1910,1.23
53,PO-2023-0048,MAT-002,3434,4.64
54,PO-2023-0049,MAT-003,4284,1.15
55,PO-2023-0050,MAT-002,1547,4.67
56,PO-2023-0050,MAT-003,3181,1.16
57,PO-2023-0051,MAT-005,4396,0.81
58,PO-2023-0052,MAT-002,4432,4.43
59,PO-2023-0052,MAT-003,1613,1.16
60,PO-2023-0053,MAT-001,122,51.39
61,PO-2023-0054,MAT-001,186,48.1
62,PO-2023-0055,MAT-002,3639,4.37
63,PO-2023-0056,MAT-003,3063,1.24
64,PO-2023-0057,MAT-006,2520,2.5
65,PO-2023-0058,MAT-006,4277,2.42
66,PO-2023-0059,MAT-006,4877,2.42
67,PO-2023-0060,MAT-001,151,49.02
68,PO-2023-0061,MAT-004,47,47.18
69,PO-2023-0062,MAT-004,175,45.37
70,PO-2023-0063,MAT-005,2136,0.8
71,PO-2023-0064,MAT-001,188,51.13
72,PO-2023-0065,MAT-002,4490,4.32
73,PO-2023-0065,MAT-003,1141,1.18
74,PO-2023-0066,MAT-004,15,43.49
75,PO-2023-0067,MAT-002,3834,4.32
76,PO-2023-0068,MAT-006,2746,2.6
77,PO-2023-0069,MAT-003,4838,1.22
78,PO-2023-0069,MAT-002,1161,4.46
79,PO-2023-0070,MAT-005,2905,0.78
80,PO-2023-0071,MAT-001,43,47.89
81,PO-2023-0072,MAT-002,2508,4.63
82,PO-2023-0072,MAT-003,4860,1.24
83,PO-2023-0073,MAT-001,124,50.44
84,PO-2023-0074,MAT-002,3119,4.61
85,PO-2023-0075,MAT-003,3603,1.24
86,PO-2023-0075,MAT-002,1927,4.51
87,PO-2023-0076,MAT-003,3817,1.23
88,PO-2023-0077,MAT-001,116,50.96
89,PO-2023-0078,MAT-002,2716,4.46
90,PO-2023-0079,MAT-006,4504,2.6
91,PO-2023-0080,MAT-006,2790,2.49
92,PO-2023-0081,MAT-001,56,49.65
